,OBJECTID,Field1,YM,SIDO,SIGUNGU,X,Y,FranClass,Type,Time,TotalSpent,DisSpent,NumofSpent,NumofDisSpent,POINT_X,POINT_Y,DONG
0,1,1,202007,제주특별자치도,제주시,230600,80000,영세,일반한식,00시,85500,0,4,0,126.17889362710162,33.30231529076244,한경면
1,2,2,202007,제주특별자치도,제주시,230600,80050,영세,단란주점,00시,1960000,0,4,0,126.17888426813494,33.302765922881875,한경면
2,3,3,202007,제주특별자치도,제주시,230650,79850,중소1,편의점,00시,475650,0,43,0,126.17945834265305,33.30097125427593,한경면
3,4,4,202007,제주특별자치도,제주시,230650,80000,영세,편의점,00시,15650,0,1,0,126.17943027296923,33.30232314934195,한경면
4,5,5,202007,제주특별자치도,제주시,230650,80100,영세,주점,00시,82500,0,1,0,126.17941155823847,33.303224412837565,한경면
5,6,6,202007,제주특별자치도,제주시,230800,80100,영세,스넥,00시,218000,141000,6,4,126.18102151237558,33.303247975317596,한경면
6,7,7,202007,제주특별자치도,제주시,231050,85250,중소1,편의점,00시,455970,0,34,0,126.18274213534224,33.34970218861682,한경면
7,8,8,202007,제주특별자치도,제주시,231050,85300,영세,스넥,00시,94500,0,2,0,126.18273277827738,33.35015281799305,한경면
8,9,9,202007,제주특별자치도,제주시,231100,84750,중소,유아원,00시,583000,0,2,0,126.18337260151796,33.345203746278855,한경면
9,10,10,202007,제주특별자치도,서귀포시,231400,74950,중소1,기타숙박업,00시,20000,0,1,0,126.18841979263068,33.25692655380537,대정읍
10,11,11,202007,제주특별자치도,제주시,231400,85500,영세,편의점,00시,36820,0,3,0,126.18645400954458,33.35201025166781,한경면
11,12,12,202007,제주특별자치도,제주시,231500,85100,영세,일반한식,00시,50000,0,1,0,126.1876025704739,33.34842087792174,한경면
12,13,13,202007,제주특별자치도,제주시,232600,86900,중소1,콘도,00시,45000,0,1,0,126.19908122279855,33.36481538795013,한경면
13,14,14,202007,제주특별자치도,제주시,232600,86900,중소1,편의점,00시,29340,0,5,0,126.19908122279855,33.36481538795013,한경면
14,15,15,202007,제주특별자치도,제주시,232600,86950,영세,일반한식,00시,26000,0,1,0,126.19907194453562,33.365266019490456,한경면
15,16,16,202007,제주특별자치도,제주시,232750,86900,영세,일반한식,00시,80000,0,1,0,126.20069232736068,33.36483873290791,한경면
16,17,17,202007,제주특별자치도,서귀포시,233300,74750,영세,기타레져업,00시,98010,0,3,0,126.20883877810641,33.255419056320044,대정읍
17,18,18,202007,제주특별자치도,제주시,234200,88450,영세,일식회집,00시,305000,0,3,0,126.21598146475174,33.37903303446577,한림읍
18,19,19,202007,제주특별자치도,제주시,234400,88700,중소2,기타숙박업,00시,100000,0,1,0,126.2180840491264,33.381317054530435,한림읍
19,20,20,202007,제주특별자치도,제주시,234700,89150,영세,노래방,00시,24000,0,2,0,126.22122437149662,33.385418976915275,한림읍
20,21,21,202007,제주특별자치도,제주시,234700,89150,일반,편의점,00시,19000,0,1,0,126.22122437149662,33.385418976915275,한림읍
21,22,22,202007,제주특별자치도,제주시,235250,89250,중소1,일반한식,00시,6178000,0,80,0,126.22711494721335,33.38640474042444,한림읍
22,23,23,202007,제주특별자치도,제주시,235450,89250,영세,일반한식,00시,144000,0,5,0,126.22926365088466,33.38643539477343,한림읍
23,24,24,202007,제주특별자치도,제주시,235450,89250,영세,편의점,00시,374700,0,33,0,126.22926365088466,33.38643539477343,한림읍
24,25,25,202007,제주특별자치도,제주시,235500,89400,중소,편의점,00시,149120,0,16,0,126.229773445316,33.38779496681147,한림읍
25,26,26,202007,제주특별자치도,제주시,235650,89250,중소1,편의점,00시,221260,0,23,0,126.23141235837706,33.386466012859046,한림읍
26,27,27,202007,제주특별자치도,제주시,235750,89500,영세,편의점,00시,42120,0,2,0,126.23244114436675,33.388734500673976,한림읍
27,28,28,202007,제주특별자치도,제주시,236400,89850,중소1,편의점,00시,30850,0,4,0,126.23936109660238,33.39198817926645,한림읍
28,29,29,202007,제주특별자치도,제주시,236400,90000,영세,편의점,00시,210150,0,28,0,126.23933385721226,33.39334009969426,한림읍
29,30,30,202007,제주특별자치도,제주시,236450,89900,영세,기타숙박업,00시,120000,0,1,0,126.2398892337575,33.39244643443696,한림읍
30,31,31,202007,제주특별자치도,제주시,236450,89950,영세,중국음식,00시,286000,0,4,0,126.23988015601391,33.392897074676135,한림읍
31,32,32,202007,제주특별자치도,제주시,236450,89950,중소1,기타숙박업,00시,150000,0,1,0,126.23988015601391,33.392897074676135,한림읍
32,33,33,202007,제주특별자치도,제주시,236450,89950,중소1,편의점,00시,683220,0,72,0,126.23988015601391,33.392897074676135,한림읍
33,34,34,202007,제주특별자치도,제주시,236450,90000,영세,일반한식,00시,143000,0,1,0,126.23987107917407,33.3933477148914,한림읍
34,35,35,202007,제주특별자치도,제주시,236450,90000,영세,주점,00시,220000,0,6,0,126.23987107917407,33.3933477148914,한림읍
35,36,36,202007,제주특별자치도,제주시,236500,89850,영세,당구장,00시,5600,0,1,0,126.24043552406545,33.39200340761531,한림읍
36,37,37,202007,제주특별자치도,제주시,236500,90000,영세,서양음식,00시,91000,0,5,0,126.24040830021914,33.393355328655204,한림읍
37,38,38,202007,제주특별자치도,제주시,236500,90050,영세,스넥,00시,86000,0,3,0,126.24039922599094,33.393805968037675,한림읍
38,39,39,202007,제주특별자치도,제주시,236500,90050,중소,편의점,00시,327900,0,42,0,126.24039922599094,33.393805968037675,한림읍
39,40,40,202007,제주특별자치도,제주시,236500,90100,영세,기타음료식품,00시,17000,0,1,0,126.24039015050347,33.39425660827613,한림읍
40,41,41,202007,제주특별자치도,제주시,236550,89850,영세,스넥,00시,685000,0,11,0,126.24097273806032,33.3920110178528,한림읍
